bookId,title,authors,averageRating,isbn,isbn13,languageCode,numPages,ratingsCount,textReviewsCount,publicationDate,publisher,createdAt,updatedAt
1351,Statesman,Plato/C.J. Rowe,3.85,872204626,9.78087E+12,eng,128,28,7,3/15/99,Hackett Publishing Company  Inc.,4/15/20 11:06,4/15/20 11:06
1354,Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,3.95,140449043,9.78014E+12,en-GB,208,8186,198,1/29/04,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1362,The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,3.99,140449086,9.78014E+12,eng,716,34727,597,1/30/03,Penguin Books,4/15/20 11:06,4/15/20 11:06
1363,The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,3.99,140446389,9.78014E+12,eng,622,227,18,9/1/54,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1364,The History (Great Minds),Herodotus/Henry Francis Cary,3.99,879757779,9.78088E+12,en-US,613,2,0,11/1/92,Prometheus Books,4/15/20 11:06,4/15/20 11:06
1365,The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,3.99,192824252,9.78019E+12,eng,772,271,41,11/19/98,Oxford University Press,4/15/20 11:06,4/15/20 11:06
1366,The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,3.99,140440348,9.78014E+12,en-US,653,143,17,8/30/70,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1367,The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco,3.99,393959465,9.78039E+12,en-US,464,40,5,1/17/92,W.W. Norton & Company,4/15/20 11:06,4/15/20 11:06
1368,The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,3.99,375400613,9.78038E+12,en-US,816,132,10,3/25/97,Everyman's Library 234,4/15/20 11:06,4/15/20 11:06
1369,The History,Herodotus/Peter Grene,3.99,226327701,9.78023E+12,en-US,710,36,6,3/14/87,University of Chicago Press,4/15/20 11:06,4/15/20 11:06
1371,The Iliad,Homer/Robert Fagles/Bernard Knox,3.86,140275363,9.78014E+12,eng,683,288792,3423,4/29/99,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1373,Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,3.86,872203522,9.78087E+12,en-US,574,1058,137,3/12/97,Hackett Publishing Company  Inc.,4/15/20 11:06,4/15/20 11:06
1374,The Iliad,Homer/Robert Fitzgerald/Andrew Ford,3.86,374529051,9.78037E+12,en-US,588,692,81,4/3/04,Farrar  Straus and Giroux,4/15/20 11:06,4/15/20 11:06
1375,The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,4.04,147712556,9.78015E+12,eng,1556,54939,380,11/1/99,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1376,The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.86,140447946,9.78014E+12,eng,462,1919,118,1/30/03,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1377,The Iliad,Homer/W.H.D. Rouse,3.86,451527372,9.78045E+12,en-US,312,158,15,8/1/99,Signet Classics,4/15/20 11:06,4/15/20 11:06
1378,The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,3.86,872205428,9.78087E+12,en-US,216,212,18,9/15/00,Hackett Publishing Company  Inc.,4/15/20 11:06,4/15/20 11:06
1381,The Odyssey,Homer/Robert Fagles/Bernard Knox,3.76,143039954,9.78014E+12,eng,541,760871,6557,11/30/06,Penguin Classics,4/15/20 11:06,4/15/20 11:06
